Timestamp,P-PDG,P-TPT,T-TPT,class
0,37109920.0,21426070.0,112.5221,0.0
1,37109920.0,21426110.0,112.5221,0.0
2,37109920.0,21426150.0,112.5221,0.0
3,37109920.0,21426190.0,112.522,0.0
4,37109920.0,21426240.0,112.522,0.0
5,37109920.0,21426280.0,112.5219,0.0
6,37109920.0,21426320.0,112.5219,0.0
7,37109920.0,21426360.0,112.5218,0.0
8,37109920.0,21426410.0,112.5218,0.0
9,37109930.0,21426450.0,112.5217,0.0
10,37109930.0,21426490.0,112.5217,0.0
11,37109930.0,21426540.0,112.5217,0.0
12,37109930.0,21426580.0,112.5216,0.0
13,37109930.0,21426620.0,112.5216,0.0
14,37109930.0,21426660.0,112.5215,0.0
15,37109930.0,21426700.0,112.5215,0.0
16,37109930.0,21426750.0,112.5214,0.0
17,37109930.0,21426790.0,112.5214,0.0
18,37109930.0,21426830.0,112.5213,0.0
19,37109940.0,21426880.0,112.5213,0.0
20,37109940.0,21426920.0,112.5213,0.0
21,37109920.0,21426960.0,112.5212,0.0
22,37109900.0,21427000.0,112.5212,0.0
23,37109880.0,21427040.0,112.5211,0.0
24,37109870.0,21427090.0,112.5211,0.0
25,37109850.0,21427130.0,112.521,0.0
26,37109830.0,21427170.0,112.521,0.0
27,37109810.0,21427220.0,112.521,0.0
28,37109790.0,21427260.0,112.5209,0.0
29,37109780.0,21427300.0,112.5209,0.0
30,37109760.0,21427340.0,112.5208,0.0
31,37109740.0,21427390.0,112.5208,0.0
32,37109750.0,21427430.0,112.5207,0.0
33,37109750.0,21427470.0,112.5207,0.0
34,37109760.0,21427510.0,112.5206,0.0
35,37109760.0,21427560.0,112.5206,0.0
36,37109770.0,21427600.0,112.5206,0.0
37,37109770.0,21427640.0,112.5205,0.0
38,37109770.0,21427680.0,112.5205,0.0
39,37109780.0,21427730.0,112.5204,0.0
40,37109780.0,21427770.0,112.5204,0.0
41,37109790.0,21427810.0,112.5203,0.0
42,37109790.0,21427850.0,112.5203,0.0
43,37109800.0,21427900.0,112.5202,0.0
44,37109800.0,21427940.0,112.5202,0.0
45,37109810.0,21427980.0,112.5202,0.0
46,37109810.0,21428020.0,112.5205,0.0
47,37109820.0,21428070.0,112.5208,0.0
48,37109820.0,21428110.0,112.5211,0.0
49,37109830.0,21428150.0,112.5214,0.0
50,37109830.0,21428200.0,112.5217,0.0
51,37109840.0,21428240.0,112.522,0.0
52,37109840.0,21428280.0,112.5223,0.0
53,37109840.0,21428320.0,112.5226,0.0
54,37109870.0,21428360.0,112.5229,0.0
55,37109900.0,21428410.0,112.5232,0.0
56,37109920.0,21428450.0,112.5235,0.0
57,37109950.0,21428490.0,112.5238,0.0
58,37109980.0,21428540.0,112.5241,0.0
59,37110000.0,21428580.0,112.5244,0.0
60,37110030.0,21428620.0,112.5247,0.0
61,37110050.0,21428660.0,112.525,0.0
62,37110080.0,21428700.0,112.5253,0.0
63,37110100.0,21428750.0,112.5256,0.0
64,37110130.0,21428790.0,112.5259,0.0
65,37110160.0,21428830.0,112.5262,0.0
66,37110180.0,21428880.0,112.5265,0.0
67,37110210.0,21428920.0,112.5268,0.0
68,37110240.0,21428960.0,112.5271,0.0
69,37110260.0,21429000.0,112.5274,0.0
70,37110290.0,21429050.0,112.5277,0.0
71,37110310.0,21429090.0,112.528,0.0
72,37110340.0,21429130.0,112.5283,0.0
73,37110370.0,21429170.0,112.5286,0.0
74,37110390.0,21429220.0,112.5289,0.0
75,37110420.0,21429260.0,112.5292,0.0
76,37110390.0,21429300.0,112.5295,0.0
77,37110370.0,21429340.0,112.5298,0.0
78,37110340.0,21429390.0,112.5301,0.0
79,37110320.0,21429430.0,112.5304,0.0
80,37110290.0,21429470.0,112.5307,0.0
81,37110270.0,21429520.0,112.531,0.0
82,37110240.0,21429560.0,112.5313,0.0
83,37110220.0,21429600.0,112.5316,0.0
84,37110190.0,21429640.0,112.5319,0.0
85,37110170.0,21429680.0,112.5322,0.0
86,37110140.0,21429730.0,112.5325,0.0
87,37110030.0,21429660.0,112.5328,0.0
88,37109920.0,21429600.0,112.5331,0.0
89,37109810.0,21429540.0,112.5334,0.0
90,37109690.0,21429470.0,112.5337,0.0
91,37109580.0,21429410.0,112.534,0.0
92,37109470.0,21429340.0,112.5343,0.0
93,37109350.0,21429280.0,112.5346,0.0
94,37109240.0,21429220.0,112.5349,0.0
95,37109130.0,21429150.0,112.5352,0.0
96,37109020.0,21429090.0,112.5355,0.0
97,37108910.0,21429030.0,112.5358,0.0
98,37108930.0,21428960.0,112.5361,0.0
99,37108950.0,21428900.0,112.5364,0.0
100,37108970.0,21428830.0,112.5367,0.0
101,37108990.0,21428770.0,112.5365,0.0
102,37109010.0,21428710.0,112.5364,0.0
103,37109040.0,21428640.0,112.5363,0.0
104,37109060.0,21428580.0,112.5361,0.0
105,37109080.0,21428510.0,112.536,0.0
106,37109100.0,21428450.0,112.5359,0.0
107,37109130.0,21428390.0,112.5357,0.0
108,37109150.0,21428320.0,112.5356,0.0
109,37109190.0,21428240.0,112.5354,0.0
110,37109240.0,21428150.0,112.5353,0.0
111,37109280.0,21428070.0,112.5352,0.0
112,37109330.0,21427980.0,112.535,0.0
113,37109380.0,21427900.0,112.5349,0.0
114,37109420.0,21427810.0,112.5348,0.0
115,37109460.0,21427730.0,112.5346,0.0
116,37109510.0,21427640.0,112.5345,0.0
117,37109560.0,21427560.0,112.5343,0.0
118,37109600.0,21427470.0,112.5342,0.0
119,37109640.0,21427390.0,112.5341,0.0
120,37109690.0,21427300.0,112.5339,0.0
121,37109730.0,21427220.0,112.5338,0.0
122,37109780.0,21427130.0,112.5337,0.0
123,37109820.0,21427050.0,112.5335,0.0
124,37109870.0,21426960.0,112.5334,0.0
125,37109910.0,21426880.0,112.5333,0.0
126,37109960.0,21426790.0,112.5331,0.0
127,37110000.0,21426700.0,112.533,0.0
128,37110050.0,21426620.0,112.5328,0.0
129,37110090.0,21426540.0,112.5327,0.0
130,37110140.0,21426450.0,112.5326,0.0
131,37110150.0,21426360.0,112.5324,0.0
132,37110170.0,21426280.0,112.5323,0.0
133,37110180.0,21426190.0,112.5322,0.0
134,37110200.0,21426110.0,112.532,0.0
135,37110210.0,21426020.0,112.5319,0.0
136,37110230.0,21425940.0,112.5318,0.0
137,37110240.0,21425850.0,112.5316,0.0
138,37110260.0,21425770.0,112.5315,0.0
139,37110270.0,21425680.0,112.5313,0.0
140,37110290.0,21425600.0,112.5312,0.0
141,37110300.0,21425510.0,112.5311,0.0
142,37110320.0,21425560.0,112.5309,0.0
143,37110330.0,21425600.0,112.5308,0.0
144,37110350.0,21425640.0,112.5307,0.0
145,37110360.0,21425680.0,112.5305,0.0
146,37110380.0,21425730.0,112.5304,0.0
147,37110390.0,21425770.0,112.5303,0.0
148,37110410.0,21425810.0,112.5301,0.0
149,37110420.0,21425850.0,112.53,0.0
150,37110440.0,21425900.0,112.5298,0.0
151,37110450.0,21425940.0,112.5297,0.0
152,37110470.0,21425980.0,112.5296,0.0
